map_id,trip durations,trip lengths,runtime
instances\experiment\map1_10_82.txt,260,234,0.0202371
instances\experiment\map1_10_83.txt,280,236,0.0098977
instances\experiment\map1_10_84.txt,999999,999999,999999
instances\experiment\map1_10_85.txt,310,246,0.0242173
instances\experiment\map1_10_86.txt,270,247,0.0261626
instances\experiment\map1_10_87.txt,280,247,0.0280233
instances\experiment\map1_10_88.txt,280,240,0.026117
instances\experiment\map1_10_89.txt,999999,999999,999999
instances\experiment\map1_10_9.txt,300,239,0.0298522
instances\experiment\map1_10_90.txt,310,252,0.0377108
instances\experiment\map1_10_91.txt,330,262,0.0321102
instances\experiment\map1_10_92.txt,340,269,0.0376097
instances\experiment\map1_10_93.txt,500,288,0.0348742
instances\experiment\map1_10_94.txt,280,236,0.0261177
instances\experiment\map1_10_95.txt,280,233,0.009789
instances\experiment\map1_10_96.txt,330,249,0.0190909
instances\experiment\map1_10_97.txt,290,240,0.0175506
instances\experiment\map1_10_98.txt,320,253,0.0123897
instances\experiment\map1_10_99.txt,290,243,0.0082432
instances\experiment\map1_14_0.txt,462,351,0.0257456
instances\experiment\map1_14_1.txt,448,369,0.0156429
instances\experiment\map1_14_10.txt,999999,999999,999999
instances\experiment\map1_14_100.txt,999999,999999,999999
instances\experiment\map1_14_101.txt,999999,999999,999999
instances\experiment\map1_14_102.txt,378,343,0.0329911
instances\experiment\map1_14_103.txt,448,358,0.0318072
instances\experiment\map1_14_104.txt,546,387,0.0266487
instances\experiment\map1_14_105.txt,999999,999999,999999
instances\experiment\map1_14_106.txt,588,376,0.0259883
instances\experiment\map1_14_107.txt,532,376,0.0343381
instances\experiment\map1_14_108.txt,1288,492,0.0738926
instances\experiment\map1_14_109.txt,392,328,0.0145846
instances\experiment\map1_14_11.txt,854,429,0.0193686
instances\experiment\map1_14_110.txt,999999,999999,999999
instances\experiment\map1_14_111.txt,518,378,0.0220596
instances\experiment\map1_14_112.txt,588,370,0.0626631
instances\experiment\map1_14_113.txt,462,350,0.0360654
instances\experiment\map1_14_114.txt,999999,999999,999999
instances\experiment\map1_14_115.txt,999999,999999,999999
instances\experiment\map1_14_116.txt,616,412,0.0223266
instances\experiment\map1_14_117.txt,490,366,0.0163939
instances\experiment\map1_14_118.txt,999999,999999,999999
instances\experiment\map1_14_119.txt,658,372,0.0270965
instances\experiment\map1_14_12.txt,999999,999999,999999
instances\experiment\map1_14_120.txt,999999,999999,999999
instances\experiment\map1_14_121.txt,999999,999999,999999
instances\experiment\map1_14_122.txt,999999,999999,999999
instances\experiment\map1_14_123.txt,999999,999999,999999
instances\experiment\map1_14_124.txt,999999,999999,999999
instances\experiment\map1_14_125.txt,999999,999999,999999
instances\experiment\map1_14_126.txt,406,350,0.0155309
instances\experiment\map1_14_127.txt,546,375,0.033639
instances\experiment\map1_14_128.txt,588,380,0.0327508
instances\experiment\map1_14_129.txt,999999,999999,999999
instances\experiment\map1_14_13.txt,2520,630,0.0455893
instances\experiment\map1_14_130.txt,999999,999999,999999
instances\experiment\map1_14_131.txt,546,403,0.019651
instances\experiment\map1_14_132.txt,476,351,0.0169038
instances\experiment\map1_14_133.txt,518,384,0.0199132
instances\experiment\map1_14_134.txt,518,369,0.0180549
instances\experiment\map1_14_135.txt,504,372,0.0218159
instances\experiment\map1_14_136.txt,378,327,0.0176064
instances\experiment\map1_14_137.txt,462,359,0.0402217
instances\experiment\map1_14_138.txt,999999,999999,999999
instances\experiment\map1_14_139.txt,462,372,0.0391173
instances\experiment\map1_14_14.txt,999999,999999,999999
instances\experiment\map1_14_140.txt,999999,999999,999999
instances\experiment\map1_14_141.txt,420,325,0.0173168
instances\experiment\map1_14_142.txt,999999,999999,999999
instances\experiment\map1_14_143.txt,999999,999999,999999
instances\experiment\map1_14_144.txt,406,329,0.0155476
instances\experiment\map1_14_145.txt,999999,999999,999999
instances\experiment\map1_14_146.txt,476,349,0.0162225
instances\experiment\map1_14_147.txt,2002,624,0.0369925
instances\experiment\map1_14_148.txt,434,342,0.0185399
instances\experiment\map1_14_149.txt,448,349,0.0154622
instances\experiment\map1_14_15.txt,406,345,0.0155382
instances\experiment\map1_14_150.txt,518,378,0.0175518
instances\experiment\map1_14_151.txt,999999,999999,999999
instances\experiment\map1_14_152.txt,476,350,0.0186286
instances\experiment\map1_14_153.txt,476,351,0.0154684
instances\experiment\map1_14_154.txt,406,348,0.0137452
instances\experiment\map1_14_155.txt,999999,999999,999999
instances\experiment\map1_14_156.txt,999999,999999,999999
instances\experiment\map1_14_157.txt,574,363,0.0216173
instances\experiment\map1_14_158.txt,999999,999999,999999
instances\experiment\map1_14_159.txt,476,372,0.0190531
instances\experiment\map1_14_16.txt,999999,999999,999999
instances\experiment\map1_14_160.txt,504,360,0.0169627
instances\experiment\map1_14_161.txt,840,406,0.0240635
instances\experiment\map1_14_162.txt,392,337,0.0157543
instances\experiment\map1_14_163.txt,434,342,0.0199764
instances\experiment\map1_14_164.txt,999999,999999,999999
instances\experiment\map1_14_165.txt,574,371,0.0182873
instances\experiment\map1_14_166.txt,546,375,0.01724
instances\experiment\map1_14_167.txt,406,339,0.0356535
instances\experiment\map1_14_168.txt,420,350,0.0224957
instances\experiment\map1_14_169.txt,546,366,0.0188508
instances\experiment\map1_14_17.txt,999999,999999,999999
instances\experiment\map1_14_170.txt,966,458,0.0227604
instances\experiment\map1_14_171.txt,999999,999999,999999
instances\experiment\map1_14_172.txt,462,367,0.0167619
instances\experiment\map1_14_173.txt,999999,999999,999999
instances\experiment\map1_14_174.txt,630,390,0.0182558
instances\experiment\map1_14_175.txt,999999,999999,999999
instances\experiment\map1_14_176.txt,546,373,0.0168779
instances\experiment\map1_14_177.txt,546,368,0.0175063
instances\experiment\map1_14_178.txt,672,412,0.019599
instances\experiment\map1_14_179.txt,420,356,0.0151171
instances\experiment\map1_14_18.txt,1274,497,0.0313286
instances\experiment\map1_14_180.txt,999999,999999,999999
instances\experiment\map1_14_181.txt,999999,999999,999999
instances\experiment\map1_14_182.txt,999999,999999,999999
instances\experiment\map1_14_183.txt,868,438,0.0235376
instances\experiment\map1_14_184.txt,504,392,0.0278944
instances\experiment\map1_14_185.txt,518,368,0.0167587
instances\experiment\map1_14_186.txt,462,347,0.0160009
instances\experiment\map1_14_187.txt,616,403,0.0226915
instances\experiment\map1_14_188.txt,448,349,0.0157826
instances\experiment\map1_14_189.txt,999999,999999,999999
instances\experiment\map1_14_19.txt,616,400,0.0166447
instances\experiment\map1_14_190.txt,420,339,0.0193346
instances\experiment\map1_14_191.txt,462,367,0.017262
instances\experiment\map1_14_192.txt,532,388,0.025068
instances\experiment\map1_14_193.txt,490,356,0.0180748
instances\experiment\map1_14_194.txt,462,364,0.0172038
instances\experiment\map1_14_195.txt,999999,999999,999999
instances\experiment\map1_14_196.txt,602,371,0.0181529
instances\experiment\map1_14_197.txt,490,362,0.0157081
instances\experiment\map1_14_198.txt,462,342,0.015001
instances\experiment\map1_14_199.txt,476,352,0.0163811
instances\experiment\map1_14_2.txt,434,333,0.014981
instances\experiment\map1_14_20.txt,999999,999999,999999
instances\experiment\map1_14_200.txt,999999,999999,999999
instances\experiment\map1_14_201.txt,448,361,0.0153484
instances\experiment\map1_14_202.txt,448,348,0.0174034
instances\experiment\map1_14_203.txt,448,365,0.0159515
instances\experiment\map1_14_204.txt,434,371,0.0184418
instances\experiment\map1_14_205.txt,999999,999999,999999
instances\experiment\map1_14_206.txt,999999,999999,999999
instances\experiment\map1_14_207.txt,490,360,0.0224488
instances\experiment\map1_14_208.txt,448,340,0.016418
instances\experiment\map1_14_209.txt,999999,999999,999999
instances\experiment\map1_14_21.txt,798,409,0.0235589
instances\experiment\map1_14_210.txt,588,377,0.0224174
instances\experiment\map1_14_211.txt,999999,999999,999999
instances\experiment\map1_14_212.txt,999999,999999,999999
instances\experiment\map1_14_213.txt,504,370,0.0173271
instances\experiment\map1_14_214.txt,490,352,0.0165603
instances\experiment\map1_14_215.txt,434,342,0.0176654
instances\experiment\map1_14_216.txt,999999,999999,999999
instances\experiment\map1_14_217.txt,532,371,0.0180172
instances\experiment\map1_14_218.txt,999999,999999,999999
instances\experiment\map1_14_219.txt,999999,999999,999999
instances\experiment\map1_14_22.txt,999999,999999,999999
instances\experiment\map1_14_220.txt,999999,999999,999999
instances\experiment\map1_14_221.txt,999999,999999,999999
instances\experiment\map1_14_222.txt,392,328,0.0146329
instances\experiment\map1_14_223.txt,999999,999999,999999
instances\experiment\map1_14_224.txt,434,364,0.0163937
instances\experiment\map1_14_225.txt,602,390,0.0178457
instances\experiment\map1_14_226.txt,546,391,0.0189484
instances\experiment\map1_14_227.txt,434,348,0.017639
instances\experiment\map1_14_228.txt,392,331,0.0154782
instances\experiment\map1_14_229.txt,999999,999999,999999
instances\experiment\map1_14_23.txt,434,352,0.0174665
instances\experiment\map1_14_230.txt,504,353,0.0189934
instances\experiment\map1_14_231.txt,999999,999999,999999
instances\experiment\map1_14_232.txt,350,323,0.0151356
instances\experiment\map1_14_233.txt,999999,999999,999999
instances\experiment\map1_14_234.txt,462,337,0.0179931
instances\experiment\map1_14_235.txt,999999,999999,999999
instances\experiment\map1_14_236.txt,448,356,0.0164853
instances\experiment\map1_14_237.txt,490,370,0.019692
instances\experiment\map1_14_238.txt,999999,999999,999999
instances\experiment\map1_14_239.txt,406,335,0.0378457
instances\experiment\map1_14_24.txt,532,379,0.0560246
instances\experiment\map1_14_240.txt,518,373,0.0503575
instances\experiment\map1_14_241.txt,476,356,0.0394457
instances\experiment\map1_14_242.txt,420,334,0.0140289
instances\experiment\map1_14_243.txt,588,371,0.0200641
instances\experiment\map1_14_244.txt,420,342,0.015634
instances\experiment\map1_14_245.txt,490,346,0.0435179
instances\experiment\map1_14_246.txt,420,354,0.0447698
instances\experiment\map1_14_247.txt,728,399,0.022225
instances\experiment\map1_14_248.txt,999999,999999,999999
instances\experiment\map1_14_249.txt,999999,999999,999999
instances\experiment\map1_14_25.txt,812,410,0.0211548
instances\experiment\map1_14_250.txt,476,379,0.0176606
