map_id,trip durations,trip lengths,runtime[s],duration/len(a*)
instances\experiment2_dis2\map1_10_1253.txt,244,236,0.0963797,1.0384615384615385-1.04-1.0476190476190477-1.04-1.0-1.0-1.0952380952380953-1.04-1.0-1.0434782608695652
instances\experiment2_dis2\map1_10_1254.txt,255,249,0.1444267,1.1818181818181819-1.0-1.0-1.0-1.0-1.08-1.0-1.0869565217391304-1.0-1.1538461538461537
instances\experiment2_dis2\map1_10_1255.txt,999999,999999,999999,999999
instances\experiment2_dis2\map1_10_1256.txt,237,232,0.0326964,1.0-1.05-1.0833333333333333-1.0-1.0-1.0-1.0-1.0-1.0833333333333333-1.0
instances\experiment2_dis2\map1_10_1257.txt,247,239,0.1781574,1.04-1.0-1.1153846153846154-1.04-1.1304347826086956-1.0476190476190477-1.0-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1258.txt,433,409,0.3492165,1.0909090909090908-4.636363636363637-1.12-3.533333333333333-1.0-1.0869565217391304-1.2692307692307692-1.3076923076923077-1.6-1.0769230769230769
instances\experiment2_dis2\map1_10_1259.txt,269,241,0.2493804,1.3636363636363635-1.3636363636363635-1.0769230769230769-1.0434782608695652-1.0-1.25-1.0-1.2083333333333333-1.2-1.0434782608695652
instances\experiment2_dis2\map1_10_1260.txt,256,243,0.2749793,1.2608695652173914-1.0-1.16-1.0740740740740742-1.0-1.0434782608695652-1.2608695652173914-1.0454545454545454-1.0-1.0769230769230769
instances\experiment2_dis2\map1_10_1261.txt,244,230,0.2298,1.0-1.0909090909090908-1.0909090909090908-1.0-1.2727272727272727-1.45-1.0-1.0740740740740742-1.0-1.0
instances\experiment2_dis2\map1_10_1262.txt,252,245,0.0398741,1.0-1.0-1.0357142857142858-1.0952380952380953-1.0-1.0-1.04-1.04-1.0-1.1363636363636365
instances\experiment2_dis2\map1_10_1263.txt,296,279,0.1389479,1.0-1.1428571428571428-1.25-1.48-1.0357142857142858-1.037037037037037-1.8095238095238095-1.52-1.0-1.0
instances\experiment2_dis2\map1_10_1264.txt,295,283,0.0942277,1.5-1.0-1.0714285714285714-1.0-1.0-1.5217391304347827-1.0-1.9565217391304348-1.1818181818181819-1.375
instances\experiment2_dis2\map1_10_1265.txt,261,239,0.2331282,1.0-1.3478260869565217-1.4761904761904763-1.0-1.0-1.0869565217391304-1.1304347826086956-1.0-1.1153846153846154-1.0
instances\experiment2_dis2\map1_10_1266.txt,234,225,0.1144172,1.0-1.1904761904761905-1.3-1.0-1.0-1.0-1.0-1.1304347826086956-1.0454545454545454-1.0
instances\experiment2_dis2\map1_10_1267.txt,262,251,0.1354938,1.3043478260869565-1.0952380952380953-1.1111111111111112-1.037037037037037-1.0476190476190477-1.0-1.0-1.0-1.2083333333333333-1.0
instances\experiment2_dis2\map1_10_1268.txt,286,256,0.2133025,1.0-1.2692307692307692-1.4090909090909092-1.0833333333333333-1.5-1.0833333333333333-1.375-1.2083333333333333-1.380952380952381-1.0
instances\experiment2_dis2\map1_10_1269.txt,247,237,0.1154581,1.0-1.1153846153846154-1.1666666666666667-1.0-1.0476190476190477-1.2857142857142858-1.1666666666666667-1.0-1.3157894736842106-1.0
instances\experiment2_dis2\map1_10_1270.txt,236,230,0.1819327,1.0-1.1304347826086956-1.0-1.0-1.0434782608695652-1.0-1.0-1.0434782608695652-1.0-1.1428571428571428
instances\experiment2_dis2\map1_10_1271.txt,303,291,0.1054951,1.2608695652173914-1.0-1.826086956521739-1.0-1.8695652173913044-1.3333333333333333-1.7307692307692308-1.037037037037037-1.1363636363636365-1.0
instances\experiment2_dis2\map1_10_1272.txt,247,239,0.1760696,1.0-1.0-1.0-1.1-1.08-1.08-1.0-1.0-1.0384615384615385-1.2380952380952381
instances\experiment2_dis2\map1_10_1273.txt,289,260,0.4480958,1.0769230769230769-1.0-1.04-1.619047619047619-1.36-1.1304347826086956-1.32-1.1304347826086956-1.4782608695652173-1.0434782608695652
instances\experiment2_dis2\map1_10_1274.txt,248,247,0.1110425,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0476190476190477-1.0416666666666667-1.0
instances\experiment2_dis2\map1_10_1275.txt,248,237,0.153895,1.05-1.0-1.0-1.2-1.0416666666666667-1.1666666666666667-1.0416666666666667-1.1153846153846154-1.0454545454545454-1.1428571428571428
instances\experiment2_dis2\map1_10_1276.txt,241,235,0.1362316,1.0476190476190477-1.0-1.0-1.0-1.0833333333333333-1.0-1.0-1.1153846153846154-1.0-1.0
instances\experiment2_dis2\map1_10_1277.txt,243,237,0.0496314,1.0-1.0-1.0-1.0-1.0-1.0-1.0740740740740742-1.0-1.0-1.173913043478261
instances\experiment2_dis2\map1_10_1278.txt,324,316,0.3303953,1.173913043478261-1.0-1.0-2.32-1.0769230769230769-1.0-2.1724137931034484-1.1818181818181819-1.0-1.037037037037037
instances\experiment2_dis2\map1_10_1279.txt,241,231,0.4251005,1.05-1.0-1.16-1.0-1.16-1.2083333333333333-1.0-1.15-1.0-1.0
instances\experiment2_dis2\map1_10_1280.txt,243,233,0.0984302,1.25-1.125-1.0-1.0-1.1304347826086956-1.0-1.0-1.0-1.1363636363636365-1.0
instances\experiment2_dis2\map1_10_1281.txt,245,237,0.0413134,1.0-1.0434782608695652-1.0833333333333333-1.0714285714285714-1.0-1.0869565217391304-1.0454545454545454-1.0-1.0-1.0416666666666667
instances\experiment2_dis2\map1_10_1282.txt,242,232,0.402415,1.0-1.0416666666666667-1.0454545454545454-1.0-1.0-1.0-1.1818181818181819-1.1153846153846154-1.0833333333333333-1.0
instances\experiment2_dis2\map1_10_1283.txt,249,242,0.0650121,1.0740740740740742-1.1153846153846154-1.0-1.0-1.0-1.0-1.0-1.08-1.0-1.0
instances\experiment2_dis2\map1_10_1284.txt,238,234,0.0623804,1.0454545454545454-1.0-1.0-1.0416666666666667-1.08-1.0-1.1363636363636365-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1285.txt,234,228,0.1815897,1.0454545454545454-1.0-1.04-1.0-1.1818181818181819-1.0-1.0869565217391304-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1286.txt,234,227,0.1036493,1.0476190476190477-1.0833333333333333-1.1363636363636365-1.0-1.0454545454545454-1.04-1.0-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1287.txt,259,243,0.3058863,1.0-1.0416666666666667-1.1304347826086956-1.4285714285714286-1.3636363636363635-1.0-1.1111111111111112-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1288.txt,239,238,0.0337963,1.0-1.0-1.0-1.0-1.0-1.0-1.0357142857142858-1.0-1.0-1.0
instances\experiment2_dis2\map1_10_1289.txt,224,222,0.0934174,1.0-1.0-1.0-1.0-1.0-1.0-1.0-1.0769230769230769-1.0-1.0454545454545454
instances\experiment2_dis2\map1_10_1290.txt,251,240,0.0158675,1.0-1.0434782608695652-1.0384615384615385-1.0869565217391304-1.1111111111111112-1.0476190476190477-1.04-1.0-1.0-1.0434782608695652
instances\experiment2_dis2\map1_10_1291.txt,259,245,0.2001535,1.1428571428571428-1.1538461538461537-1.0416666666666667-1.0-1.3478260869565217-1.0-1.2608695652173914-1.0434782608695652-1.2608695652173914-1.0
instances\experiment2_dis2\map1_10_1292.txt,999999,999999,999999,999999
instances\experiment2_dis2\map1_10_1293.txt,352,329,0.3204074,1.0384615384615385-1.037037037037037-2.0-2.0416666666666665-1.0-1.2-1.0476190476190477-1.0-1.9583333333333333-2.380952380952381
instances\experiment2_dis2\map1_10_1294.txt,255,244,0.1957084,1.0416666666666667-1.12-1.2857142857142858-1.0-1.0-1.0416666666666667-1.08-1.2857142857142858-1.0-1.0434782608695652
instances\experiment2_dis2\map1_10_1295.txt,230,227,0.1257016,1.0-1.25-1.0-1.037037037037037-1.0-1.0-1.0-1.0-1.0952380952380953-1.0952380952380953
instances\experiment2_dis2\map1_10_1296.txt,235,228,0.1637326,1.368421052631579-1.0-1.0-1.1363636363636365-1.1904761904761905-1.0-1.0454545454545454-1.0-1.0-1.04
instances\experiment2_dis2\map1_10_1297.txt,267,265,0.123215,1.0-1.0-1.0-1.0-1.0-1.0-1.9545454545454546-1.0-1.0454545454545454-1.5925925925925926
instances\experiment2_dis2\map1_10_1298.txt,264,249,0.2469117,1.2083333333333333-1.0-1.0454545454545454-1.08-1.0344827586206897-1.2272727272727273-1.2608695652173914-1.0-1.0-1.0769230769230769
instances\experiment2_dis2\map1_10_1299.txt,244,241,0.0963671,1.037037037037037-1.0-1.0-1.0454545454545454-1.0-1.0-1.0-1.0-1.0-1.0952380952380953
